Title,Price,Availability,Rating
"A Light in the Attic","£51.77","In stock","Three"
"Tipping the Velvet","£53.74","In stock","One"
"Soumission","£50.10","In stock","One"
"Sharp Objects","£47.82","In stock","Four"
"Sapiens: A Brief History of Humankind","£54.23","In stock","Five"
"The Requiem Red","£22.65","In stock","One"
"The Dirty Little Secrets of Getting Your Dream Job","£33.34","In stock","Four"
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull","£17.93","In stock","Three"
"The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics","£22.60","In stock","Four"
"The Black Maria","£52.15","In stock","One"